"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"12510","GO:0048522",1.29745113790779e-14,1,1460,5256,"positive regulation of cellular process","BP"
"11373","GO:0045321",7.97428031588123e-14,1,314,917,"leukocyte activation","BP"
"12506","GO:0048518",1.23494136307633e-13,1,1588,5812,"positive regulation of biological process","BP"
"562","GO:0001775",3.09903719460189e-13,1,351,1056,"cell activation","BP"
"2596","GO:0005622",4.81044348474138e-13,1,3430,13737,"intracellular anatomical structure","CC"
"11980","GO:0046649",2.76930801341512e-12,1,264,763,"lymphocyte activation","BP"
"972","GO:0002376",4.55960388690097e-12,1,700,2398,"immune system process","BP"
"4505","GO:0009966",1.07676373283139e-11,1,838,2890,"regulation of signal transduction","BP"
"12538","GO:0048583",1.18430766029182e-11,1,1065,3789,"regulation of response to stimulus","BP"
"2539","GO:0005515",1.89624348365681e-11,1,3350,13464,"protein binding","MF"
"19085","GO:1901652",1.91494909970416e-11,1,292,880,"response to peptide","BP"
"8876","GO:0034097",1.92619324040706e-11,1,288,866,"response to cytokine","BP"
"1144","GO:0002682",5.64102643313259e-11,1,456,1492,"regulation of immune system process","BP"
"3408","GO:0006955",5.87563670997115e-11,1,495,1650,"immune response","BP"
"6908","GO:0023051",7.93018011576072e-11,1,932,3277,"regulation of signaling","BP"
"15474","GO:0071219",9.76283696750136e-11,1,89,204,"cellular response to molecule of bacterial origin","BP"
"4704","GO:0010646",9.93078911146479e-11,1,933,3284,"regulation of cell communication","BP"
"12888","GO:0050794",1.05326260859405e-10,1,2568,10007,"regulation of cellular process","BP"
"15545","GO:0071345",1.06152909462205e-10,1,260,778,"cellular response to cytokine stimulus","BP"
"6961","GO:0030098",1.18222441613796e-10,1,153,402,"lymphocyte differentiation","BP"
"1063","GO:0002521",1.37856051304589e-10,1,207,586,"leukocyte differentiation","BP"
"1146","GO:0002684",1.55188703591483e-10,1,332,1038,"positive regulation of immune system process","BP"
"14849","GO:0065007",1.84583838384503e-10,1,2783,10947,"biological regulation","BP"
"879","GO:0002237",2.8852089319361e-10,1,126,325,"response to molecule of bacterial origin","BP"
"12884","GO:0050789",5.12204160986179e-10,1,2696,10590,"regulation of biological process","BP"
"15471","GO:0071216",5.66061987067221e-10,1,96,231,"cellular response to biotic stimulus","BP"
"19677","GO:1903131",6.56042144830047e-10,1,177,492,"mononuclear cell differentiation","BP"
"15477","GO:0071222",6.96332427404723e-10,0.999999999755083,84,194,"cellular response to lipopolysaccharide","BP"
"6960","GO:0030097",1.10843749216898e-09,1,293,905,"hemopoiesis","BP"
"12936","GO:0050865",1.4563481670717e-09,1,208,610,"regulation of cell activation","BP"
"19423","GO:1902531",1.50407192132911e-09,1,553,1863,"regulation of intracellular signal transduction","BP"
"12511","GO:0048523",1.62977540786415e-09,1,1248,4599,"negative regulation of cellular process","BP"
"12539","GO:0048584",1.64931042892218e-09,1,635,2191,"positive regulation of response to stimulus","BP"
"9459","GO:0035556",2.03228792572876e-09,1,810,2848,"intracellular signal transduction","BP"
"8184","GO:0032496",2.41882712486476e-09,1,118,309,"response to lipopolysaccharide","BP"
"1156","GO:0002694",2.72962311147201e-09,1,191,555,"regulation of leukocyte activation","BP"
"12507","GO:0048519",2.73497334642955e-09,1,1340,4986,"negative regulation of biological process","BP"
"12875","GO:0050776",1.00595288950638e-08,1,285,903,"regulation of immune response","BP"
"1209","GO:0002764",1.25983878773399e-08,1,178,516,"immune response-regulating signaling pathway","BP"
"6279","GO:0019221",1.30063745507944e-08,1,164,476,"cytokine-mediated signaling pathway","BP"
"1202","GO:0002757",1.45848569106214e-08,1,166,474,"immune response-activating signaling pathway","BP"
"10177","GO:0042110",1.55214829354163e-08,1,187,551,"T cell activation","BP"
"2527","GO:0005488",1.58499103345795e-08,1,3666,14987,"binding","MF"
"13166","GO:0051249",1.77437928759853e-08,1,169,490,"regulation of lymphocyte activation","BP"
"7052","GO:0030217",2.55102595856709e-08,1,115,303,"T cell differentiation","BP"
"13100","GO:0051128",3.14463724050085e-08,1,676,2363,"regulation of cellular component organization","BP"
"10178","GO:0042113",3.36074100523616e-08,1,100,257,"B cell activation","BP"
"3865","GO:0008283",3.36389964207182e-08,1,532,1841,"cell population proliferation","BP"
"4506","GO:0009967",3.62700659298548e-08,1,443,1489,"positive regulation of signal transduction","BP"
"14239","GO:0060759",3.84696095514034e-08,0.999999984479732,73,171,"regulation of response to cytokine stimulus","BP"
"888","GO:0002253",4.11010630023234e-08,1,181,534,"activation of immune response","BP"
"12877","GO:0050778",4.19137841048894e-08,1,232,719,"positive regulation of immune response","BP"
"3503","GO:0007154",4.77073298911127e-08,1,1540,5851,"cell communication","BP"
"6909","GO:0023052",4.91392731078057e-08,1,1533,5824,"signaling","BP"
"3514","GO:0007165",5.11117288243261e-08,1,1419,5370,"signal transduction","BP"
"13399","GO:0051707",5.29759379830043e-08,1,410,1403,"response to other organism","BP"
"10698","GO:0043207",6.14789436489505e-08,1,410,1405,"response to external biotic stimulus","BP"
"4482","GO:0009893",6.73652032358366e-08,1,923,3365,"positive regulation of metabolic process","BP"
"4404","GO:0009607",6.75914552941567e-08,1,420,1444,"response to biotic stimulus","BP"
"11462","GO:0045619",8.13892144338648e-08,1,84,209,"regulation of lymphocyte differentiation","BP"
"1212","GO:0002768",8.64561375926752e-08,1,117,319,"immune response-regulating cell surface receptor signaling pathway","BP"
"4668","GO:0010604",1.1233346320302e-07,1,849,3077,"positive regulation of macromolecule metabolic process","BP"
"1158","GO:0002696",1.36567318897217e-07,1,126,352,"positive regulation of leukocyte activation","BP"
"12938","GO:0050867",1.5682636168197e-07,1,131,370,"positive regulation of cell activation","BP"
"19425","GO:1902533",2.15441931620691e-07,1,321,1055,"positive regulation of intracellular signal transduction","BP"
"9827","GO:0036211",2.25723242796825e-07,1,715,2552,"protein modification process","BP"
"16305","GO:0080134",2.87714175879514e-07,1,390,1326,"regulation of response to stress","BP"
"11431","GO:0045580",2.94426795444991e-07,0.999999871575,74,180,"regulation of T cell differentiation","BP"
"2648","GO:0005737",3.08967935524663e-07,0.999999859867005,2822,11293,"cytoplasm","CC"
"701","GO:0001959",4.18174731034243e-07,0.999999823982893,67,161,"regulation of cytokine-mediated signaling pathway","BP"
"885","GO:0002250",5.11688778232755e-07,1,153,459,"adaptive immune response","BP"
"19253","GO:1902105",5.63606428436077e-07,1,111,309,"regulation of leukocyte differentiation","BP"
"10184","GO:0042127",6.08481279411641e-07,0.999999739049203,447,1548,"regulation of cell population proliferation","BP"
